MipStartID,MipStartFile,SourceEvalID,UpperBound
21,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-2/32proc/seed-3/3_neos-5093327-huahum_seed-3_20260427_085508/iterated_local_search/run_6_worker_0/mip_starts/mip_start_eval_12_config_18231723158764415075.mst,2652,6480
20,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-2/32proc/seed-3/3_neos-5093327-huahum_seed-3_20260427_085508/iterated_local_search/run_6_worker_0/mip_starts/mip_start_eval_11_config_13432831328514286933.mst,2651,6480
19,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-2/32proc/seed-3/3_neos-5093327-huahum_seed-3_20260427_085508/iterated_local_search/run_6_worker_0/mip_starts/mip_start_eval_2_config_3273011976048697511.mst,2642,6480
18,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-2/32proc/seed-3/3_neos-5093327-huahum_seed-3_20260427_085508/iterated_local_search/run_5_worker_1/mip_starts/mip_start_eval_17_config_2538535703072728785.mst,2067,6480
17,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-2/32proc/seed-3/3_neos-5093327-huahum_seed-3_20260427_085508/iterated_local_search/run_4_worker_4/mip_starts/mip_start_eval_7_config_17872122332909673442.mst,1620,6570
16,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-2/32proc/seed-3/3_neos-5093327-huahum_seed-3_20260427_085508/iterated_local_search/run_4_worker_1/mip_starts/mip_start_eval_1_config_10317514354539592896.mst,1572,6580
15,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-2/32proc/seed-3/3_neos-5093327-huahum_seed-3_20260427_085508/iterated_local_search/run_4_worker_0/mip_starts/mip_start_eval_7_config_14875586315595033304.mst,1564,6608
14,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-2/32proc/seed-3/3_neos-5093327-huahum_seed-3_20260427_085508/iterated_local_search/run_4_worker_0/mip_starts/mip_start_eval_3_config_8061465464762510471.mst,1560,6608
1,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-2/32proc/seed-3/3_neos-5093327-huahum_seed-3_20260427_085508/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_1_config_14921508010286178949.mst,1,6826
2,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-2/32proc/seed-3/3_neos-5093327-huahum_seed-3_20260427_085508/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_2_config_2823934824078185206.mst,2,6826
3,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-2/32proc/seed-3/3_neos-5093327-huahum_seed-3_20260427_085508/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_4_config_17878160102696106270.mst,4,6826
4,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-2/32proc/seed-3/3_neos-5093327-huahum_seed-3_20260427_085508/iterated_local_search/run_1_worker_1/mip_starts/mip_start_eval_2_config_4970148594231515670.mst,22,6760
5,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-2/32proc/seed-3/3_neos-5093327-huahum_seed-3_20260427_085508/iterated_local_search/run_1_worker_9/mip_starts/mip_start_eval_14_config_12138322501880784191.mst,194,6744
6,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-2/32proc/seed-3/3_neos-5093327-huahum_seed-3_20260427_085508/iterated_local_search/run_2_worker_23/mip_starts/mip_start_eval_1_config_7838178002751436142.mst,810,6706
7,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-2/32proc/seed-3/3_neos-5093327-huahum_seed-3_20260427_085508/iterated_local_search/run_3_worker_0/mip_starts/mip_start_eval_2_config_10257019073345624647.mst,888,6690
8,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-2/32proc/seed-3/3_neos-5093327-huahum_seed-3_20260427_085508/iterated_local_search/run_3_worker_0/mip_starts/mip_start_eval_10_config_16132692484455943784.mst,896,6690
9,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-2/32proc/seed-3/3_neos-5093327-huahum_seed-3_20260427_085508/iterated_local_search/run_3_worker_0/mip_starts/mip_start_eval_18_config_14499992617762066293.mst,904,6690
10,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-2/32proc/seed-3/3_neos-5093327-huahum_seed-3_20260427_085508/iterated_local_search/run_3_worker_2/mip_starts/mip_start_eval_8_config_4523409228884340878.mst,934,6682
11,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-2/32proc/seed-3/3_neos-5093327-huahum_seed-3_20260427_085508/iterated_local_search/run_3_worker_3/mip_starts/mip_start_eval_7_config_14242676119031736064.mst,953,6666
12,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-2/32proc/seed-3/3_neos-5093327-huahum_seed-3_20260427_085508/iterated_local_search/run_3_worker_7/mip_starts/mip_start_eval_17_config_16692213875182163621.mst,1043,6662
13,/scratch/yorig/mpils-results-grid-ticks-10000-divide/medium-2/32proc/seed-3/3_neos-5093327-huahum_seed-3_20260427_085508/iterated_local_search/run_3_worker_12/mip_starts/mip_start_eval_3_config_11934322314722863220.mst,1129,6608
