EvalID,TimeEvaluated,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,6,33.25,33.250000,1925736.999995,1285394.812541,14921508010286178949,null,0,1,0
2,12,32.18,32.180000,1918841.999995,1301356.334142,8683817217222751575,null,0,1,0
3,18,32.18,32.180000,1918841.999995,1301356.334142,1109746989676116089,null,0,1,0
4,24,32.18,32.180000,1918841.999995,1301356.334142,18425285283540328501,null,0,1,0
5,30,32.18,32.180000,1918841.999995,1301356.334142,16080314484600567712,null,0,1,0
6,37,17.44,17.440000,1613156.000000,1331798.104570,2045221141382991416,null,0,1,0
7,44,61.83,61.830000,1922386.999995,733697.252778,17648355577354814956,null,0,1,0
8,50,31.93,31.930000,1979441.999995,1347415.480170,10392390143190524088,null,0,1,0
9,58,26.97,26.970000,1646670.999999,1202604.483969,13770116375343405968,null,0,1,0
10,65,17.44,17.440000,1613156.000000,1331798.104570,17688768045539215019,null,0,1,0
11,71,31.53,31.530000,1939134.999995,1327676.666224,15273498181807445162,null,0,1,0
12,77,32.03,32.030000,1939134.999995,1317959.159774,8774218735760563753,null,0,1,0
13,83,29.03,29.030000,1893231.999995,1343594.059227,6197906647821418528,null,0,1,0
14,90,17.44,17.440000,1613156.000000,1331798.104570,10666471106627947181,null,0,1,0
15,96,30.73,30.730000,1935107.999995,1340510.141463,5475801925244789900,null,0,1,0
16,103,30.55,30.550000,1918656.999995,1332539.377311,432407992805173716,null,0,1,0
17,110,61.42,61.420000,1940615.000000,748668.275478,111237599271905998,null,0,1,0
18,117,17.44,17.440000,1613156.000000,1331798.104570,8922813005609054591,null,0,1,0
19,123,25.5,25.500000,1772801.000001,1320749.022823,4757994463665999083,null,0,1,0
20,129,33.69,33.690000,1939134.999995,1285758.744270,10346973009034893901,null,0,1,0
21,8,23.64,23.640000,1611220.000000,1230290.000000,6439873165248256756,null,1,1,0
22,17,29.33,29.330000,1578610.000000,1115640.000000,11255561039145532449,null,1,1,0
23,26,18.92,18.920000,1543860.000000,1251780.000000,16491404846762771235,null,1,1,0
24,36,24.37,24.370000,1662820.000000,1257590.000000,4569552427967643073,null,1,1,0
25,46,22.17,22.170000,1551890.000000,1207860.000000,5212968674792936681,null,1,1,0
26,53,21.29,21.290000,1590320.000000,1251780.000000,8809107036824656699,null,1,1,0
27,63,21.84,21.840000,1598140.000000,1249030.000000,2124134745575245083,null,1,1,0
28,72,27.08,27.080000,1563380.000000,1140020.000000,5934070515384621107,null,1,1,0
29,81,21.11,21.110000,1597320.000000,1260120.000000,15783822686056472735,null,1,1,0
30,90,31.82,31.820000,1626490.000000,1108860.000000,8322809246514251266,null,1,1,0
31,98,21.85,21.850000,1601660.000000,1251780.000000,4349841698254037706,null,1,1,0
32,107,21.98,21.980000,1535280.000000,1197800.000000,2929577956582896675,null,1,1,0
33,115,28.92,28.920000,1643530.000000,1168160.000000,10902920655245845871,null,1,1,0
34,123,18.92,18.920000,1543860.000000,1251780.000000,8910472572270854038,null,1,1,0
35,132,18.92,18.920000,1543860.000000,1251780.000000,16867024972434311996,null,1,1,0
36,139,20.84,20.840000,1581280.000000,1251670.000000,17875557734324739600,null,1,1,0
37,147,25.02,25.020000,1595590.000000,1196390.000000,7291424432590047586,null,1,1,0
38,156,22.17,22.170000,1551890.000000,1207860.000000,6494857804253244111,null,1,1,0
39,163,55.79,55.790000,1834300.000000,810875.000000,12999124212956322604,null,1,1,0
40,171,18.92,18.920000,1543860.000000,1251780.000000,2521595261559812639,null,1,1,0
41,9,26.94,26.940000,1594070.000000,1164660.000000,11502841505915629043,null,2,1,0
42,17,28.6,28.600000,1587900.000000,1133800.000000,9540605019386224781,null,2,1,0
43,26,33.81,33.810000,1691670.000000,1119660.000000,506689512661984095,null,2,1,0
44,34,32.22,32.220000,1731290.000000,1173460.000000,16534604556155127503,null,2,1,0
45,40,29.03,29.030000,1893230.000000,1343590.000000,632225661182783722,null,2,1,0
46,46,30.6,30.600000,1918660.000000,1331640.000000,6850949390865010622,null,2,1,0
47,56,26.94,26.940000,1594070.000000,1164660.000000,18018833947707090070,null,2,1,0
48,65,26.94,26.940000,1594070.000000,1164660.000000,6295513472425555250,null,2,1,0
49,73,25.81,25.810000,1593260.000000,1182040.000000,16188625927354057329,null,2,1,0
