MipStartID,MipStartFile,SourceEvalID,UpperBound
10,/scratch/yorig/mpils-results-grid-ticks-10000/easy/16proc/seed-6/4_lotsize_seed-6_20260425_184806/iterated_local_search/run_5_worker_1/mip_starts/mip_start_eval_3_config_1910197212882759156.mst,1207,1.48875e+06
9,/scratch/yorig/mpils-results-grid-ticks-10000/easy/16proc/seed-6/4_lotsize_seed-6_20260425_184806/iterated_local_search/run_4_worker_0/mip_starts/mip_start_eval_9_config_17575643476252508097.mst,696,1.4946e+06
8,/scratch/yorig/mpils-results-grid-ticks-10000/easy/16proc/seed-6/4_lotsize_seed-6_20260425_184806/iterated_local_search/run_3_worker_1/mip_starts/mip_start_eval_9_config_9591140429672884259.mst,530,1.49656e+06
7,/scratch/yorig/mpils-results-grid-ticks-10000/easy/16proc/seed-6/4_lotsize_seed-6_20260425_184806/iterated_local_search/run_1_worker_9/mip_starts/mip_start_eval_13_config_15855564394602333621.mst,193,1.49925e+06
6,/scratch/yorig/mpils-results-grid-ticks-10000/easy/16proc/seed-6/4_lotsize_seed-6_20260425_184806/iterated_local_search/run_1_worker_8/mip_starts/mip_start_eval_16_config_11645610200016693425.mst,176,1.52432e+06
5,/scratch/yorig/mpils-results-grid-ticks-10000/easy/16proc/seed-6/4_lotsize_seed-6_20260425_184806/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_7_config_12072695820010501625.mst,7,1.5331e+06
4,/scratch/yorig/mpils-results-grid-ticks-10000/easy/16proc/seed-6/4_lotsize_seed-6_20260425_184806/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_6_config_13581763227333440181.mst,6,1.60014e+06
3,/scratch/yorig/mpils-results-grid-ticks-10000/easy/16proc/seed-6/4_lotsize_seed-6_20260425_184806/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_3_config_16995950043446168429.mst,3,1.63372e+06
2,/scratch/yorig/mpils-results-grid-ticks-10000/easy/16proc/seed-6/4_lotsize_seed-6_20260425_184806/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_2_config_1894762743428622621.mst,2,1.87668e+06
1,/scratch/yorig/mpils-results-grid-ticks-10000/easy/16proc/seed-6/4_lotsize_seed-6_20260425_184806/iterated_local_search/run_1_worker_0/mip_starts/mip_start_eval_1_config_14921508010286178949.mst,1,1.92574e+06
