EvalID,TimeEvaluated,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,7,91.3,91.300000,499.635492,43.474651,14921508010286178949,null,0,1,0
2,14,91.3,91.300000,499.635492,43.474651,2823934824078185206,null,0,1,0
3,21,91.3,91.300000,499.635492,43.474651,844706301316953147,null,0,1,0
4,27,91.3,91.300000,499.635492,43.474651,13575339350133640537,null,0,1,0
5,34,91.3,91.300000,499.635492,43.474651,10926055034921966546,null,0,1,0
6,41,91.3,91.300000,499.635492,43.474651,13290681019215308220,null,0,1,0
7,53,21.57,21.570000,55.430127,43.474651,16957666276679199244,null,0,1,0
8,61,21.57,21.570000,55.430127,43.474651,9790877350325995247,null,0,1,0
9,67,91.3,91.300000,499.635492,43.474651,5398713608842390699,null,0,1,0
10,75,21.57,21.570000,55.430127,43.474651,3175669104720507236,null,0,1,0
11,83,21.57,21.570000,55.430127,43.474651,5544650494140749795,null,0,1,0
12,91,21.57,21.570000,55.430127,43.474651,6863555193231150367,null,0,1,0
13,99,21.57,21.570000,55.430127,43.474651,4035910778140628704,null,0,1,0
14,106,21.57,21.570000,55.430127,43.474651,13539448550712089660,null,0,1,0
15,114,21.57,21.570000,55.430127,43.474651,11229182350521227177,null,0,1,0
16,122,21.57,21.570000,55.430127,43.474651,4075051810448497291,null,0,1,0
17,128,100,100.000000,499.635492,0.000000,12351453347240979420,null,0,1,0
18,136,21.57,21.570000,55.430127,43.474651,14435525882683381056,null,0,1,0
19,144,21.57,21.570000,55.430127,43.474651,1989493773585018539,null,0,1,0
20,151,91.3,91.300000,499.635492,43.474651,2077675631147850639,null,0,1,0
21,158,4.5,4.500000,45.521065,43.474651,9737618245863125003,null,0,1,1
22,167,4.5,4.500000,45.521065,43.474651,8678667501699572281,null,0,2,0
23,174,4.5,4.500000,45.521065,43.474651,8806038048573958976,null,0,2,0
24,181,4.5,4.500000,45.521065,43.474651,6758883756701869654,null,0,2,0
25,188,4.5,4.500000,45.521065,43.474651,6918720321485707504,null,0,2,0
26,194,4.5,4.500000,45.521065,43.474651,9476205527517419152,null,0,2,0
27,201,4.5,4.500000,45.521065,43.474651,362444322776317635,null,0,2,1
28,208,4.5,4.500000,45.521065,43.474651,3580408498437219305,null,0,2,1
29,215,4.5,4.500000,45.521065,43.474651,9022893695999418451,null,0,2,1
30,222,4.5,4.500000,45.521065,43.474651,8916658849756157110,null,0,2,1
31,229,4.5,4.500000,45.521065,43.474651,6168706701938631356,null,0,2,1
32,236,4.5,4.500000,45.521065,43.474651,14207319421086711538,null,0,2,1
33,243,4.5,4.500000,45.521065,43.474651,1768016903646627223,null,0,2,1
34,250,4.5,4.500000,45.521065,43.474651,13724573972966636075,null,0,2,1
35,257,4.5,4.500000,45.521065,43.474651,16680386550537895026,null,0,2,1
36,264,4.5,4.500000,45.521065,43.474651,11964012416039452971,null,0,2,1
37,271,4.5,4.500000,45.521065,43.474651,13289387294809065583,null,0,2,1
38,278,4.5,4.500000,45.521065,43.474651,2650302971589648839,null,0,2,1
39,285,4.5,4.500000,45.521065,43.474651,266052936187188415,null,0,2,1
40,292,4.5,4.500000,45.521065,43.474651,13545044107706029612,null,0,2,1
41,299,4.5,4.500000,45.521065,43.474651,4454552601948338953,null,0,2,1
42,305,4.5,4.500000,45.521065,43.474651,3825463231524315121,null,0,2,1
43,312,21.57,21.570000,55.430127,43.474651,15016089314924146064,null,0,2,1
44,319,21.57,21.570000,55.430127,43.474651,17055802429365399143,null,0,2,1
45,326,21.57,21.570000,55.430127,43.474651,8558460021145752772,null,0,2,1
46,332,21.57,21.570000,55.430127,43.474651,8140963475098747739,null,0,2,1
47,339,21.57,21.570000,55.430127,43.474651,17887695123584134687,null,0,2,1
48,346,21.57,21.570000,55.430127,43.474651,1109257751850890358,null,0,2,1
49,352,21.57,21.570000,55.430127,43.474651,4793030563350197417,null,0,2,1
50,359,21.57,21.570000,55.430127,43.474651,14748096058739521500,null,0,2,1
51,366,21.57,21.570000,55.430127,43.474651,15172865629877078327,null,0,2,1
52,372,21.57,21.570000,55.430127,43.474651,12679204159145343394,null,0,2,1
53,379,21.57,21.570000,55.430127,43.474651,11314369357762951296,null,0,2,1
54,386,4.5,4.500000,45.521065,43.474651,18212015908896370039,null,0,2,1
55,393,4.5,4.500000,45.521065,43.474651,893102941063127492,null,0,2,1
56,400,4.5,4.500000,45.521065,43.474651,437531092010278220,null,0,2,1
57,406,4.5,4.500000,45.521065,43.474651,9031517161733637283,null,0,2,1
58,413,4.5,4.500000,45.521065,43.474651,17150540056235603123,null,0,2,1
59,420,4.5,4.500000,45.521065,43.474651,5770137284952700379,null,0,2,1
60,427,4.5,4.500000,45.521065,43.474651,3220883211754347066,null,0,2,1
61,434,4.5,4.500000,45.521065,43.474651,16444520795252225850,null,0,2,1
62,441,4.5,4.500000,45.521065,43.474651,14714042743718346457,null,0,2,1
63,447,4.5,4.500000,45.521065,43.474651,10899458930434470506,null,0,2,1
64,454,4.5,4.500000,45.521065,43.474651,4128135550895017259,null,0,2,1
65,461,4.5,4.500000,45.521065,43.474651,5803895996088642981,null,0,2,1
66,468,4.5,4.500000,45.521065,43.474651,13466079406009614930,null,0,2,1
67,475,4.5,4.500000,45.521065,43.474651,16567250532988692715,null,0,2,1
68,482,4.5,4.500000,45.521065,43.474651,1900004705170082014,null,0,2,1
69,489,4.5,4.500000,45.521065,43.474651,13631841122899866490,null,0,2,1
70,496,4.5,4.500000,45.521065,43.474651,11458321592963139537,null,0,2,1
71,503,4.5,4.500000,45.521065,43.474651,14596102505285578893,null,0,2,1
72,510,4.5,4.500000,45.521065,43.474651,364218941862672730,null,0,2,1
73,516,4.5,4.500000,45.521065,43.474651,15395755972883334885,null,0,2,1
74,523,4.5,4.500000,45.521065,43.474651,11071213187965031036,null,0,2,1
75,530,4.5,4.500000,45.521065,43.474651,1192710491621733112,null,0,2,1
76,537,4.5,4.500000,45.521065,43.474651,13962599876923580438,null,0,2,1
77,544,4.5,4.500000,45.521065,43.474651,8356407680291500709,null,0,2,1
78,551,4.5,4.500000,45.521065,43.474651,130028002400043866,null,0,2,1
79,558,4.5,4.500000,45.521065,43.474651,18354528478312966418,null,0,2,1
80,565,4.5,4.500000,45.521065,43.474651,13294019571047358406,null,0,2,1
81,571,21.57,21.570000,55.430127,43.474651,4793030563350197417,null,0,3,0
82,578,21.57,21.570000,55.430127,43.474651,17055802429365399143,null,0,3,0
83,585,4.5,4.500000,45.521065,43.474651,1328392239527274356,null,0,3,0
84,592,4.5,4.500000,45.521065,43.474651,2488042186201200644,null,0,3,0
85,598,4.5,4.500000,45.521065,43.474651,8678667501699572281,null,0,3,0
86,605,4.5,4.500000,45.521065,43.474651,13156652548020635387,null,0,3,1
87,613,4.5,4.500000,45.521065,43.474651,2371989663985548884,null,0,3,1
88,620,4.5,4.500000,45.521065,43.474651,10440693902693841115,null,0,3,1
89,626,4.5,4.500000,45.521065,43.474651,15098939183935163928,null,0,3,1
90,633,4.5,4.500000,45.521065,43.474651,9594725625469677981,null,0,3,1
91,640,4.5,4.500000,45.521065,43.474651,12719180453401791719,null,0,3,1
92,647,4.5,4.500000,45.521065,43.474651,3961483455574574573,null,0,3,1
93,654,4.5,4.500000,45.521065,43.474651,1722459911435512044,null,0,3,1
94,661,4.5,4.500000,45.521065,43.474651,8956946563252312506,null,0,3,1
95,668,100,100.000000,59710.034081,0.000000,15147636563924933828,null,0,3,1
96,675,4.5,4.500000,45.521065,43.474651,6053951961296502626,null,0,3,1
97,680,1.79769e+308,,,43.474651,16610373428220519925,null,0,3,1
98,687,4.5,4.500000,45.521065,43.474651,12854757031390608676,null,0,3,1
99,693,4.5,4.500000,45.521065,43.474651,17023731347239181229,null,0,3,1
100,700,4.5,4.500000,45.521065,43.474651,14364592670013480827,null,0,3,1
101,707,4.5,4.500000,45.521065,43.474651,2821569436244033704,null,0,3,1
102,714,4.5,4.500000,45.521065,43.474651,9642555464343869898,null,0,3,1
103,719,100,100.000000,499.635492,0.000000,13694355386094311432,null,0,3,1
104,725,4.5,4.500000,45.521065,43.474651,6962962277039590779,null,0,3,1
105,732,91.3,91.300000,499.635492,43.474651,1137979856661825499,null,0,3,1
106,738,18.43,18.430000,53.295955,43.474651,10996749597962981942,null,0,3,1
107,743,20.57,20.570000,54.732815,43.474651,7827708452916102122,null,0,3,1
108,750,4.5,4.500000,45.521065,43.474651,15879069981199360794,null,0,3,1
109,757,91.3,91.300000,499.635492,43.474651,320343691343427654,null,0,3,1
110,764,4.5,4.500000,45.521065,43.474651,18250009262208650644,null,0,3,1
111,777,69.18,69.180000,141.060838,43.474651,5309607246070479940,null,0,3,1
112,784,21.57,21.570000,55.430127,43.474651,9179854506192844646,null,0,3,1
113,792,91.3,91.300000,499.635492,43.474651,14021367110360139535,null,0,3,1
114,799,20.57,20.570000,54.732815,43.474651,10574833933227687258,null,0,3,1
115,806,4.5,4.500000,45.521065,43.474651,4999882718162127536,null,0,3,1
116,812,91.3,91.300000,499.635492,43.474651,13686896498020459353,null,0,3,1
117,819,4.5,4.500000,45.521065,43.474651,17185957106552892381,null,0,3,1
118,825,91.3,91.300000,499.635492,43.474651,7904779012308994323,null,0,3,1
119,833,4.5,4.500000,45.521065,43.474651,6788942984323105914,null,0,3,1
120,841,4.5,4.500000,45.521065,43.474651,8497122727054500871,null,0,3,1
121,849,1.79769e+308,,,43.474651,3175485123873293725,null,0,3,1
122,856,4.5,4.500000,45.521065,43.474651,17278045740850436379,null,0,3,1
123,864,4.5,4.500000,45.521065,43.474651,13338905965458037674,null,0,3,1
124,871,21.57,21.570000,55.430127,43.474651,8140963475098747739,null,0,4,0
125,877,4.5,4.500000,45.521065,43.474651,11881299716766696238,null,0,4,0
126,884,69.18,69.180000,141.060838,43.474651,2293480693402703332,null,0,4,0
127,890,4.5,4.500000,45.521065,43.474651,6282299739542378379,null,0,4,0
128,897,21.57,21.570000,55.430127,43.474651,4793030563350197417,null,0,4,0
129,904,4.5,4.500000,45.521065,43.474651,17744877294407148604,null,0,4,0
130,911,4.5,4.500000,45.521065,43.474651,11096973058360635725,null,0,4,0
