EvalID,TimeEvaluated,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,7,39.6,39.600000,-5050303.000000,-7050403.000000,14921508010286178949,null,0,1,0
2,14,119,119.000000,-5050303.000000,-11060403.000000,5643427149002281568,null,0,1,0
3,21,33.72,33.720000,-6020203.000000,-8050303.000000,2823934824078185206,null,0,1,0
4,28,59.78,59.780000,-5050303.000000,-8069184.793291,4953176355233792838,null,0,1,0
5,35,54.68,54.680000,-5050303.000000,-7811916.345220,17389999200280525169,null,0,1,0
6,41,59.2,59.200000,-5050303.000000,-8040303.000000,10932394299006356428,null,0,1,0
7,48,79.2,79.200000,-5050303.000000,-9050203.000000,8683817217222751575,null,0,1,0
8,55,79.76,79.760000,-5040303.000000,-9060403.000000,8426713912480278403,null,0,1,0
9,62,59.4,59.400000,-5050303.000000,-8050303.000000,66560094061867943,null,0,1,0
10,69,33.72,33.720000,-6020203.000000,-8050303.000000,10938499863717094109,null,0,1,0
11,76,33.72,33.720000,-6020203.000000,-8050303.000000,13077815406065335359,null,0,1,0
12,83,80.46,80.460000,-5020203.000000,-9059436.308978,14718808688324299525,null,0,1,0
13,90,59.4,59.400000,-5050303.000000,-8050303.000000,5948685825087948624,null,0,1,0
14,97,79.6,79.600000,-5050303.000000,-9070155.257738,17878160102696106270,null,0,1,0
15,104,79.2,79.200000,-5050303.000000,-9050303.000000,14403042972698526843,null,0,1,0
16,111,33.72,33.720000,-6020203.000000,-8050303.000000,9002657734057019648,null,0,1,0
17,119,39.6,39.600000,-5050303.000000,-7050403.000000,11695041479610220446,null,0,1,0
18,126,33.72,33.720000,-6020203.000000,-8050303.000000,7475797912735248108,null,0,1,0
19,133,79.4,79.400000,-5050303.000000,-9060203.000000,8211792182747950806,null,0,1,0
20,140,33.72,33.720000,-6020203.000000,-8050303.000000,12551533722498806011,null,0,1,0
21,147,265.65,265.650000,-3030303.000000,-11080403.000000,10453989035535606223,null,0,1,1
22,154,59.4,59.400000,-5050303.000000,-8050303.000000,9780012021722188771,null,0,1,1
23,161,124.25,124.250000,-4040303.000000,-9060403.000000,1095923789058140797,null,0,1,1
24,168,59.4,59.400000,-5050303.000000,-8050303.000000,10353661742438945480,null,0,1,1
25,175,59.4,59.400000,-5050303.000000,-8050303.000000,10958728816984969650,null,0,1,1
26,182,59.72,59.720000,-5040403.000000,-8050303.000000,5178779718765625327,null,0,1,1
27,189,59.4,59.400000,-5050303.000000,-8050303.000000,12760342859571627520,null,0,1,1
28,196,59.4,59.400000,-5050303.000000,-8050303.000000,6398187466598667479,null,0,1,1
29,203,264.12,264.120000,-3040303.000000,-11070403.000000,16444224010225893777,null,0,1,1
30,210,173.87,173.870000,-4040403.000000,-11065403.000000,6878002472143280541,null,0,1,1
31,217,33.72,33.720000,-6020203.000000,-8050303.000000,17783486279521202810,null,0,1,1
32,223,99,99.000000,-5050303.000000,-10050303.000000,6459434587100807913,null,0,1,1
33,230,79.2,79.200000,-5050303.000000,-9050291.342886,9308592422678597384,null,0,1,1
34,238,83.72,83.720000,-6020203.000000,-11060302.000000,5808966765798017963,null,0,1,1
35,245,83.72,83.720000,-6020203.000000,-11060403.000000,12559387529484986277,null,0,1,1
36,253,119,119.000000,-5050303.000000,-11060403.000000,10231411738182634185,null,0,1,1
37,260,79.56,79.560000,-5040303.000000,-9050303.000000,13304816849710406266,null,0,1,1
38,267,33.78,33.780000,-6020203.000000,-8053779.765932,15317630358008101499,null,0,1,1
39,274,17.28,17.280000,-6020203.000000,-7060203.000000,5130318939996806529,null,0,1,1
40,281,79.2,79.200000,-5050303.000000,-9050203.000000,9698646000665859914,null,0,2,0
41,288,59.6,59.600000,-5050303.000000,-8060403.000000,10901354972380128816,null,0,2,0
42,295,79.2,79.200000,-5050303.000000,-9050203.000000,17210282070615470505,null,0,2,0
43,302,50.16,50.160000,-6020203.000000,-9040202.000000,9615624285823402026,null,0,2,0
44,309,79.4,79.400000,-5050303.000000,-9060403.000000,17782006582505396569,null,0,2,0
45,316,17.28,17.280000,-6020203.000000,-7060203.000000,12127486438306449197,null,0,2,0
46,323,16.94,16.940000,-6020203.000000,-7040303.000000,5265515449755699026,null,0,2,0
47,330,59.4,59.400000,-5050303.000000,-8050303.000000,13877862893000010932,null,0,2,0
48,337,79.4,79.400000,-5050303.000000,-9060395.377024,14885948700220080758,null,0,2,0
49,343,118.8,118.800000,-5050303.000000,-11050203.000000,16220981293224974000,null,0,2,1
50,350,59.6,59.600000,-5050303.000000,-8060203.000000,14238709678534880542,null,0,2,1
51,357,59.6,59.600000,-5050303.000000,-8060203.000000,16362132854343433674,null,0,2,1
52,364,59.6,59.600000,-5050303.000000,-8060203.000000,682076019972284763,null,0,2,1
53,372,59.6,59.600000,-5050303.000000,-8060203.000000,12678548888634550419,null,0,2,1
54,379,59.6,59.600000,-5050303.000000,-8060203.000000,6636447928881158158,null,0,2,1
55,386,59.6,59.600000,-5050303.000000,-8060203.000000,1931222999544538078,null,0,2,1
56,393,59.6,59.600000,-5050303.000000,-8060203.000000,164275263867904278,null,0,2,1
57,400,59.6,59.600000,-5050303.000000,-8060203.000000,9165504829216749266,null,0,2,1
58,407,59.6,59.600000,-5050303.000000,-8060203.000000,14066590821065825464,null,0,2,1
59,414,59.6,59.600000,-5050303.000000,-8060203.000000,15431691940813339428,null,0,2,1
60,421,59.6,59.600000,-5050303.000000,-8060203.000000,18058893059636820217,null,0,2,1
61,428,39.6,39.600000,-5050303.000000,-7050303.000000,9526545450982973158,null,0,2,1
62,435,59.6,59.600000,-5050303.000000,-8060303.000000,11921236322524436919,null,0,2,1
63,442,118.8,118.800000,-5050303.000000,-11050303.000000,256105414279485999,null,0,2,1
64,450,118.8,118.800000,-5050303.000000,-11050303.000000,2452031500352913706,null,0,2,1
65,456,117.48,117.480000,-5050303.000000,-10983397.712941,1501535541257710857,null,0,2,1
66,463,83.44,83.440000,-6020203.000000,-11043633.711118,3068025787543814865,null,0,2,1
67,470,33.71,33.710000,-6020203.000000,-8049356.771519,16498246516687698793,null,0,2,1
68,478,50.33,50.330000,-6020203.000000,-9050303.000000,10813047966039841060,null,0,2,1
69,485,16.94,16.940000,-6020203.000000,-7040303.000000,1975681595284885255,null,0,2,1
70,492,16.94,16.940000,-6020203.000000,-7040303.000000,5724089421106420070,null,0,2,1
71,499,16.94,16.940000,-6020203.000000,-7040303.000000,1872015041771154267,null,0,2,1
72,506,16.94,16.940000,-6020203.000000,-7040303.000000,4982108604359780772,null,0,2,1
73,513,16.94,16.940000,-6020203.000000,-7040303.000000,6473988634744171431,null,0,2,1
74,520,16.94,16.940000,-6020203.000000,-7040303.000000,2070322091789563844,null,0,2,1
75,526,16.94,16.940000,-6020203.000000,-7040303.000000,11772989968551802183,null,0,2,1
76,533,16.94,16.940000,-6020203.000000,-7040303.000000,13313001150667392859,null,0,2,1
77,540,39.8,39.800000,-5050303.000000,-7060203.000000,15764678611033113264,null,0,2,1
78,547,50.33,50.330000,-6020203.000000,-9050303.000000,5859366576071265023,null,0,2,1
79,553,0,0.000000,-6020203.000000,-6020303.000000,9140001510750047919,null,0,2,1
