instance,seed,tuner_rc,best_configuration_present,output_dir,log_path
csched008.mps,7,0,1,/scratch/yorig/mpils-results-grid-ticks-10000/easy/2proc/seed-7/1_csched008_seed-7_20260426_042232,/scratch/yorig/mpils-results-grid-ticks-10000/easy/2proc/seed-7/1_csched008_seed-7_20260426_042232/run.log
fastxgemm-n2r6s0t2.mps,7,0,1,/scratch/yorig/mpils-results-grid-ticks-10000/easy/2proc/seed-7/2_fastxgemm-n2r6s0t2_seed-7_20260426_044608,/scratch/yorig/mpils-results-grid-ticks-10000/easy/2proc/seed-7/2_fastxgemm-n2r6s0t2_seed-7_20260426_044608/run.log
glass4.mps,7,0,1,/scratch/yorig/mpils-results-grid-ticks-10000/easy/2proc/seed-7/3_glass4_seed-7_20260426_050557,/scratch/yorig/mpils-results-grid-ticks-10000/easy/2proc/seed-7/3_glass4_seed-7_20260426_050557/run.log
lotsize.mps,7,0,1,/scratch/yorig/mpils-results-grid-ticks-10000/easy/2proc/seed-7/4_lotsize_seed-7_20260426_050936,/scratch/yorig/mpils-results-grid-ticks-10000/easy/2proc/seed-7/4_lotsize_seed-7_20260426_050936/run.log
mas74.mps,7,0,1,/scratch/yorig/mpils-results-grid-ticks-10000/easy/2proc/seed-7/5_mas74_seed-7_20260426_053145,/scratch/yorig/mpils-results-grid-ticks-10000/easy/2proc/seed-7/5_mas74_seed-7_20260426_053145/run.log
neos-4413714-turia.mps,7,0,1,/scratch/yorig/mpils-results-grid-ticks-10000/easy/2proc/seed-7/6_neos-4413714-turia_seed-7_20260426_061832,/scratch/yorig/mpils-results-grid-ticks-10000/easy/2proc/seed-7/6_neos-4413714-turia_seed-7_20260426_061832/run.log
qap10.mps,7,0,1,/scratch/yorig/mpils-results-grid-ticks-10000/easy/2proc/seed-7/7_qap10_seed-7_20260426_064959,/scratch/yorig/mpils-results-grid-ticks-10000/easy/2proc/seed-7/7_qap10_seed-7_20260426_064959/run.log
rocI-4-11.mps,7,0,1,/scratch/yorig/mpils-results-grid-ticks-10000/easy/2proc/seed-7/8_rocI-4-11_seed-7_20260426_065009,/scratch/yorig/mpils-results-grid-ticks-10000/easy/2proc/seed-7/8_rocI-4-11_seed-7_20260426_065009/run.log
supportcase18.mps,7,0,1,/scratch/yorig/mpils-results-grid-ticks-10000/easy/2proc/seed-7/9_supportcase18_seed-7_20260426_065700,/scratch/yorig/mpils-results-grid-ticks-10000/easy/2proc/seed-7/9_supportcase18_seed-7_20260426_065700/run.log
supportcase33.mps,7,0,1,/scratch/yorig/mpils-results-grid-ticks-10000/easy/2proc/seed-7/10_supportcase33_seed-7_20260426_071328,/scratch/yorig/mpils-results-grid-ticks-10000/easy/2proc/seed-7/10_supportcase33_seed-7_20260426_071328/run.log
