EvalID,TimeEvaluated,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,31.21,31.210000,-90.000000,-118.092173,14921508010286178949,null,0,1,0
2,11,33.29,33.290000,-89.000000,-118.625935,2823934824078185206,null,0,1,0
3,16,26.43,26.430000,-92.000000,-116.317273,3895283216737288575,null,0,1,0
4,21,26.43,26.430000,-92.000000,-116.317273,1049631541030871684,null,0,1,0
5,26,26.43,26.430000,-92.000000,-116.317273,16679742048881223644,null,0,1,0
6,32,26.43,26.430000,-92.000000,-116.317273,6462305668448669345,null,0,1,0
7,37,32.02,32.020000,-91.000000,-120.133868,5988662020493846908,null,0,1,0
8,43,34.74,34.740000,-88.000000,-118.571166,4862113567422649290,null,0,1,0
9,48,26.43,26.430000,-92.000000,-116.317273,2441688160292591395,null,0,1,0
10,53,26.43,26.430000,-92.000000,-116.317273,3823057375706889759,null,0,1,0
11,58,26.43,26.430000,-92.000000,-116.317273,14605588685206531618,null,0,1,0
12,64,32.02,32.020000,-91.000000,-120.133868,15743638518301921207,null,0,1,0
13,69,25.5,25.500000,-93.000000,-116.716467,12911295086759950527,null,0,1,0
14,74,25.5,25.500000,-93.000000,-116.716467,2519084591061496828,null,0,1,0
15,79,25.5,25.500000,-93.000000,-116.716467,9140009515971322359,null,0,1,0
16,84,25.5,25.500000,-93.000000,-116.716467,7976093774109346441,null,0,1,0
17,89,27.41,27.410000,-93.000000,-118.491671,6069347888666045659,null,0,1,0
18,94,25.5,25.500000,-93.000000,-116.716467,12564094921042026139,null,0,1,0
19,99,25.5,25.500000,-93.000000,-116.716467,11559130241872622515,null,0,1,0
20,104,25.5,25.500000,-93.000000,-116.716467,6912306756572927766,null,0,1,0
21,109,26.69,26.690000,-93.000000,-117.821085,5099030128268673919,null,0,1,1
22,114,25.5,25.500000,-93.000000,-116.716467,14757858121803224816,null,0,1,1
23,119,25.5,25.500000,-93.000000,-116.716467,6069032950811566696,null,0,1,1
24,124,26.19,26.190000,-94.000000,-118.616656,2234639263023243623,null,0,1,1
25,129,26.87,26.870000,-92.000000,-116.716467,8155642828425002608,null,0,1,1
26,134,26.87,26.870000,-92.000000,-116.716467,14810542758813752274,null,0,1,1
27,139,25.5,25.500000,-93.000000,-116.716467,15073294791749255451,null,0,1,1
28,144,25.5,25.500000,-93.000000,-116.716467,17677175726862575807,null,0,1,1
29,149,32.94,32.940000,-90.000000,-119.647788,13613059939343817185,null,0,1,1
30,154,29.98,29.980000,-92.000000,-119.586108,17803776112277940060,null,0,1,1
31,159,43.53,43.530000,-85.000000,-122.000000,15243395119259417935,null,0,1,1
32,165,45.88,45.880000,-85.000000,-124.000000,12081531076767984439,null,0,1,1
33,170,25.5,25.500000,-93.000000,-116.716467,15410698382813934587,null,0,1,1
34,175,26.25,26.250000,-94.000000,-118.672459,16784366816501257573,null,0,1,1
35,180,27.41,27.410000,-93.000000,-118.491671,840052076208911066,null,0,1,1
36,185,23.62,23.620000,-96.000000,-118.672459,6130192771639024376,null,0,1,1
37,190,23.62,23.620000,-96.000000,-118.672459,4062206996259651814,null,0,2,0
38,195,23.62,23.620000,-96.000000,-118.672459,5409526680301779008,null,0,2,0
