EvalID,TimeEvaluated,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,7,10.53,10.530000,29320.000000,26234.040818,14921508010286178949,null,0,1,0
2,14,8.41,8.410000,28729.000000,26313.790910,5643427149002281568,null,0,1,0
3,21,11.98,11.980000,29233.000000,25730.212582,271321391208788895,null,0,1,0
4,29,8.41,8.410000,28729.000000,26313.790910,6709727013648302845,null,0,1,0
5,36,8.41,8.410000,28729.000000,26313.790910,12477530550632405707,null,0,1,0
6,43,11.19,11.190000,29344.000000,26059.678932,1306624368982852578,null,0,1,0
7,50,19.94,19.940000,30511.000000,24425.771917,16449025980178702649,null,0,1,0
8,57,8.41,8.410000,28729.000000,26313.790910,17047907728642263097,null,0,1,0
9,65,8.41,8.410000,28729.000000,26313.790910,17914966802921813061,null,0,1,0
10,72,8.41,8.410000,28729.000000,26313.790910,435339654445841590,null,0,1,0
11,79,10.68,10.680000,28704.000000,25638.442101,12917510691586148595,null,0,1,0
12,86,8.51,8.510000,28582.000000,26149.298358,13964071529318666704,null,0,1,0
13,93,8.41,8.410000,28729.000000,26313.790910,11811313438669396076,null,0,1,0
14,101,8.41,8.410000,28729.000000,26313.790910,8808371701914235026,null,0,1,0
15,108,8.56,8.560000,28616.000000,26165.287996,17878160102696106270,null,0,1,0
16,114,14.44,14.440000,29906.000000,25587.456632,6389865117513611435,null,0,1,0
17,122,8.41,8.410000,28729.000000,26313.790910,6513515546483084098,null,0,1,0
18,129,18.99,18.990000,30460.000000,24676.993518,6302350429563461903,null,0,1,0
19,136,8.41,8.410000,28729.000000,26313.790910,7646819812570790734,null,0,1,0
20,143,14.65,14.650000,29246.000000,24961.565496,18060637416333092177,null,0,1,0
21,150,8.41,8.410000,28729.000000,26313.790910,13712272866700555907,null,0,1,1
22,158,8.41,8.410000,28729.000000,26313.790910,15153943005815854848,null,0,1,1
23,165,8.41,8.410000,28729.000000,26313.790910,14515948739855448219,null,0,1,1
24,173,8.41,8.410000,28729.000000,26313.790910,9955697115973691874,null,0,1,1
25,180,8.07,8.070000,28615.000000,26306.948980,4520658838536128391,null,0,1,1
26,188,8.41,8.410000,28729.000000,26313.790910,1808316485198421366,null,0,2,0
27,194,18.09,18.090000,30586.000000,25052.216173,9404197344563233811,null,0,2,0
28,202,8.07,8.070000,28615.000000,26306.948980,17449125936315068224,null,0,2,0
29,207,18.2,18.200000,30230.000000,24729.551852,17357524370264451598,null,0,2,0
30,214,11.19,11.190000,28904.000000,25668.299577,13315774934397800610,null,0,2,0
31,221,8.07,8.070000,28615.000000,26306.948980,15622719525786222696,null,0,2,0
32,228,11.01,11.010000,29587.000000,26329.591454,1962086475390607547,null,0,2,1
33,235,16.94,16.940000,31619.000000,26262.229256,14385428677691265027,null,0,2,1
34,241,1.79769e+308,,,24729.551852,17994322573851039797,null,0,2,1
35,247,1.79769e+308,,,24735.161012,423935744089173355,null,0,2,1
36,254,8.26,8.260000,28664.000000,26296.778390,5405737063462389431,null,0,2,1
37,262,13.58,13.580000,30477.000000,26337.389209,11708215276957939779,null,0,2,1
38,268,12.38,12.380000,29240.000000,25618.780006,2393571023749075125,null,0,2,1
39,275,6.15,6.150000,28082.000000,26354.247827,1734816671025059195,null,0,2,1
40,283,6.15,6.150000,28082.000000,26354.247827,17043806186193054754,null,0,3,0
41,290,6.15,6.150000,28082.000000,26354.247827,5814057394917673850,null,0,3,0
42,297,12.21,12.210000,29709.000000,26082.387122,10514602512727993701,null,0,3,0
43,304,6.15,6.150000,28082.000000,26354.247827,5227864328603034587,null,0,3,0
44,311,6.15,6.150000,28082.000000,26354.247827,14966498848479785288,null,0,3,0
45,318,11.37,11.370000,29568.000000,26206.962751,6605533210854009964,null,0,3,0
46,325,6.15,6.150000,28082.000000,26354.247827,11725925772864361283,null,0,3,0
47,332,6.15,6.150000,28082.000000,26354.247827,424097826380993096,null,0,3,0
48,339,6.15,6.150000,28082.000000,26354.247827,12087477595499425903,null,0,3,0
49,346,6.11,6.110000,28082.000000,26366.162826,3341416570814793398,null,0,3,0
50,354,7.35,7.350000,28373.000000,26287.008380,10985210634865682523,null,0,3,1
51,361,9.26,9.260000,29007.000000,26321.889655,10974897969008465895,null,0,3,1
52,368,6.04,6.040000,27868.000000,26184.983750,11677764372110407029,null,0,3,1
53,375,6.04,6.040000,27868.000000,26184.983750,12114234680751840200,null,0,4,0
54,381,6.04,6.040000,27868.000000,26184.983750,9033074668367907160,null,0,4,0
55,388,10.55,10.550000,28926.000000,25874.840467,10747582791536185993,null,0,4,0
56,395,6.01,6.010000,27868.000000,26194.270613,15246689255038715689,null,0,4,0
57,402,8.01,8.010000,28478.000000,26196.215603,12931389363830072496,null,0,4,0
58,409,10.95,10.950000,29417.000000,26195.704970,4596172979984751374,null,0,4,0
59,416,11.25,11.250000,29526.000000,26204.301680,4585311566781563622,null,0,4,0
60,423,6.01,6.010000,27868.000000,26194.270613,689656331544980690,null,0,4,1
61,429,6.01,6.010000,27868.000000,26194.270613,16111664290073493069,null,0,4,1
62,436,6.01,6.010000,27868.000000,26194.270613,14052908491553040376,null,0,4,1
63,443,6.01,6.010000,27868.000000,26194.270613,2651433460956362478,null,0,4,1
64,450,6.01,6.010000,27868.000000,26194.270613,14645886097516396340,null,0,4,1
65,457,6.01,6.010000,27868.000000,26194.270613,3162392489606359090,null,0,4,1
66,464,6.01,6.010000,27868.000000,26194.270613,14441013903124763990,null,0,4,1
67,471,6.01,6.010000,27868.000000,26194.270613,9804120121869864869,null,0,4,1
68,477,6.01,6.010000,27868.000000,26194.270613,6865895375148021433,null,0,4,1
69,484,6.01,6.010000,27868.000000,26194.270613,10503152495680680307,null,0,4,1
70,491,6.01,6.010000,27868.000000,26194.270613,14141434799690615744,null,0,4,1
71,498,6.01,6.010000,27868.000000,26194.270613,17430776768371374980,null,0,4,1
72,505,9.59,9.590000,29161.000000,26365.624531,14372098980474361473,null,0,4,1
73,512,6.37,6.370000,28000.000000,26216.636557,11131043628927664704,null,0,4,1
