EvalID,TimeEvaluated,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,6,18.77,18.770000,203.000000,164.892280,14921508010286178949,null,0,1,0
2,13,19.87,19.870000,203.000000,162.666667,2823934824078185206,null,0,1,0
3,20,20.48,20.480000,209.000000,166.204991,3895283216737288575,null,0,1,0
4,26,18.77,18.770000,203.000000,164.892280,9658482938002475941,null,0,1,0
5,33,19.05,19.050000,203.000000,164.333333,5988662020493846908,null,0,1,0
6,40,18.77,18.770000,203.000000,164.892280,5643427149002281568,null,0,1,0
7,47,18.77,18.770000,203.000000,164.892280,864434800366833410,null,0,1,0
8,54,24.7,24.700000,223.000000,167.916667,8683817217222751575,null,0,1,0
9,60,19.01,19.010000,203.000000,164.400000,5948685825087948624,null,0,1,0
10,66,24.16,24.160000,206.000000,156.222222,18073175359058532266,null,0,1,0
11,73,18.87,18.870000,203.000000,164.701977,15743638518301921207,null,0,1,0
12,80,18.77,18.770000,203.000000,164.892280,13575339350133640537,null,0,1,0
13,87,18.87,18.870000,203.000000,164.693276,14770251354950928531,null,0,1,0
14,93,17.98,17.980000,203.000000,166.500000,18060637416333092177,null,0,1,0
15,100,17.98,17.980000,203.000000,166.500000,15496482331171397500,null,0,1,0
16,107,18.47,18.470000,203.000000,165.500000,3068629658118357721,null,0,1,0
17,113,17.98,17.980000,203.000000,166.500000,1369175129924121910,null,0,1,0
18,120,15.2,15.200000,193.000000,163.666667,4038874039834982111,null,0,1,0
19,127,15.27,15.270000,193.000000,163.520152,7978140789351211316,null,0,1,0
20,133,15.2,15.200000,193.000000,163.666667,1315427313207491972,null,0,1,0
21,6,18.37,18.370000,196.000000,160.000000,8723278136865304665,null,1,1,0
22,13,14.41,14.410000,184.000000,157.483000,4970148594231515670,null,1,1,0
23,19,15.59,15.590000,186.000000,157.000000,6270648273501389222,null,1,1,0
24,26,21.53,21.530000,209.000000,164.000000,7005699763924148893,null,1,1,0
25,33,15.33,15.330000,186.000000,157.483000,3042870793650643790,null,1,1,0
26,39,16.27,16.270000,190.000000,159.093000,2468004044605160580,null,1,1,0
27,46,14.41,14.410000,184.000000,157.483000,15590667466122544831,null,1,1,0
28,53,17.45,17.450000,192.000000,158.500000,18033841978740896069,null,1,1,0
29,59,17.8,17.800000,191.000000,157.000000,18281595509875487047,null,1,1,0
30,65,15.14,15.140000,185.000000,157.000000,602337496733576830,null,1,1,0
31,72,11.6,11.600000,181.000000,160.000000,8816962341234084600,null,1,1,0
32,78,18.97,18.970000,196.000000,158.816000,2528203263244536860,null,1,1,0
33,85,11.6,11.600000,181.000000,160.000000,1559172450145774116,null,1,1,0
34,91,11.6,11.600000,181.000000,160.000000,13911944972553247059,null,1,1,0
35,98,19.32,19.320000,207.000000,167.000000,14463999928173941996,null,1,1,0
36,104,11.6,11.600000,181.000000,160.000000,12154084837451341501,null,1,1,0
37,111,18.13,18.130000,193.000000,158.000000,11430865741429358542,null,1,1,0
38,117,18.13,18.130000,192.000000,157.190000,12975498794460978279,null,1,1,0
39,124,12.81,12.810000,182.000000,158.688000,13412772826193330973,null,1,1,0
40,130,11.6,11.600000,181.000000,160.000000,16488617402500573594,null,1,1,0
41,6,22.33,22.330000,206.000000,160.000000,15446065792237984030,null,2,1,0
42,12,22.15,22.150000,206.000000,160.362000,4202048695090355429,null,2,1,0
43,19,16.94,16.940000,193.000000,160.307000,17562165566599045681,null,2,1,0
44,26,15.25,15.250000,193.000000,163.573000,12984883052126952833,null,2,1,0
45,32,19.8,19.800000,202.000000,162.000000,4288311963273236710,null,2,1,0
46,39,15.54,15.540000,193.000000,163.000000,15907767918182014265,null,2,1,0
47,45,14.78,14.780000,193.000000,164.479000,3325662364296343663,null,2,1,0
48,52,14.78,14.780000,193.000000,164.479000,13213659166389419870,null,2,1,0
49,59,15.25,15.250000,193.000000,163.573000,14285569072320956941,null,2,1,0
50,65,16.04,16.040000,193.000000,162.050000,7835718692002060902,null,2,1,0
