EvalID,TimeEvaluated,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,6,29.88,29.880000,446.000000,312.739647,14921508010286178949,null,0,1,0
2,13,31.98,31.980000,453.000000,308.133412,8683817217222751575,null,0,1,0
3,20,30.08,30.080000,446.000000,311.851747,9658482938002475941,null,0,1,0
4,26,29.88,29.880000,446.000000,312.739647,6762843893550650360,null,0,1,0
5,33,13.49,13.490000,363.000000,314.013554,14770251354950928531,null,0,1,0
6,40,13.49,13.490000,363.000000,314.013554,11666252435646076626,null,0,1,0
7,46,29.44,29.440000,442.000000,311.886654,5988662020493846908,null,0,1,0
8,53,31.61,31.610000,453.000000,309.818041,7546529019771280744,null,0,1,0
9,59,21.36,21.360000,383.000000,301.201157,6447204706455729812,null,0,1,0
10,66,32.04,32.040000,456.000000,309.894853,982730380044948298,null,0,1,0
11,71,29.94,29.940000,440.000000,308.266730,6389865117513611435,null,0,1,0
12,78,32.35,32.350000,456.000000,308.486246,16867142091176465754,null,0,1,0
13,84,31.27,31.270000,456.000000,313.418027,7731515200120874478,null,0,1,0
14,90,23.6,23.600000,411.000000,314.009124,3895283216737288575,null,0,1,0
15,97,31.77,31.770000,456.000000,311.140979,4210072402446711936,null,0,1,0
16,104,13.49,13.490000,363.000000,314.013554,16899722969686440636,null,0,1,0
17,111,25.8,25.800000,422.000000,313.105258,4403795101158116818,null,0,1,0
18,118,13.49,13.490000,363.000000,314.013554,6345961133544176677,null,0,1,0
19,125,13.49,13.490000,363.000000,314.013554,17846396744683150994,null,0,1,0
20,131,31.87,31.870000,456.000000,310.673360,4155217603842334998,null,0,1,0
21,6,37.14,37.140000,477.000000,299.849000,6439873165248256756,null,1,1,0
22,12,35.92,35.920000,473.000000,303.093000,11255561039145532449,null,1,1,0
23,18,35.7,35.700000,473.000000,304.151000,13537950976286585776,null,1,1,0
24,24,36.72,36.720000,474.000000,299.961000,8143321566228951748,null,1,1,0
25,30,35.7,35.700000,473.000000,304.151000,13829843512675762482,null,1,1,0
26,36,35.74,35.740000,473.000000,303.946000,14639195974366144042,null,1,1,0
27,42,35.7,35.700000,473.000000,304.151000,1568501419763867883,null,1,1,0
28,48,24.75,24.750000,395.000000,297.246000,9152225097391836983,null,1,1,0
29,55,24.75,24.750000,395.000000,297.246000,1460710441040596455,null,1,1,0
30,60,28.67,28.670000,415.000000,296.022000,2124134745575245083,null,1,1,0
31,66,26.7,26.700000,411.000000,301.278000,5135979093904552789,null,1,1,0
32,72,23.56,23.560000,372.000000,284.372000,12323411933568391820,null,1,1,0
33,78,23.56,23.560000,372.000000,284.372000,6341887934538807615,null,1,1,0
34,84,23.56,23.560000,372.000000,284.372000,8674223654076816699,null,1,1,0
35,91,27.25,27.250000,408.000000,296.824000,14720858697223667745,null,1,1,0
36,97,26.14,26.140000,385.000000,284.372000,16063323111743594883,null,1,1,0
37,103,23.56,23.560000,372.000000,284.372000,17498786659780781118,null,1,1,0
38,109,25.77,25.770000,398.000000,295.416000,17160437176219156683,null,1,1,0
39,115,1.79769e+308,,,299.267000,11737689361613046748,null,1,1,0
40,120,15.97,15.970000,371.000000,311.744000,50376089895492622,null,1,1,0
41,5,26.92,26.920000,410.000000,299.623000,11502841505915629043,null,2,1,0
42,11,1.79769e+308,,,299.267000,9540605019386224781,null,2,1,0
43,17,29.87,29.870000,436.000000,305.749000,506689512661984095,null,2,1,0
44,23,26.92,26.920000,410.000000,299.623000,16534604556155127503,null,2,1,0
45,29,25.89,25.890000,408.000000,302.386000,632225661182783722,null,2,1,0
46,36,18.14,18.140000,372.000000,304.511000,1999079447715496210,null,2,1,0
47,42,19.01,19.010000,372.000000,301.273000,4403146843037949564,null,2,1,0
48,49,17.81,17.810000,372.000000,305.753000,3972172431518804587,null,2,1,0
