instance,seed,tuner_rc,best_configuration_present,output_dir,log_path
b1c1s1.mps,1,0,1,/scratch/yorig/mpils-results-grid-ticks-10000/medium-1/8proc/seed-1/1_b1c1s1_seed-1_20260425_224719,/scratch/yorig/mpils-results-grid-ticks-10000/medium-1/8proc/seed-1/1_b1c1s1_seed-1_20260425_224719/run.log
cost266-UUE.mps,1,0,1,/scratch/yorig/mpils-results-grid-ticks-10000/medium-1/8proc/seed-1/2_cost266-UUE_seed-1_20260425_230619,/scratch/yorig/mpils-results-grid-ticks-10000/medium-1/8proc/seed-1/2_cost266-UUE_seed-1_20260425_230619/run.log
csched007.mps,1,0,1,/scratch/yorig/mpils-results-grid-ticks-10000/medium-1/8proc/seed-1/3_csched007_seed-1_20260425_232056,/scratch/yorig/mpils-results-grid-ticks-10000/medium-1/8proc/seed-1/3_csched007_seed-1_20260425_232056/run.log
cvs16r128-89.mps,1,0,1,/scratch/yorig/mpils-results-grid-ticks-10000/medium-1/8proc/seed-1/4_cvs16r128-89_seed-1_20260425_233658,/scratch/yorig/mpils-results-grid-ticks-10000/medium-1/8proc/seed-1/4_cvs16r128-89_seed-1_20260425_233658/run.log
eilA101-2.mps,1,0,1,/scratch/yorig/mpils-results-grid-ticks-10000/medium-1/8proc/seed-1/5_eilA101-2_seed-1_20260425_235501,/scratch/yorig/mpils-results-grid-ticks-10000/medium-1/8proc/seed-1/5_eilA101-2_seed-1_20260425_235501/run.log
momentum1.mps,1,0,1,/scratch/yorig/mpils-results-grid-ticks-10000/medium-1/8proc/seed-1/6_momentum1_seed-1_20260426_003402,/scratch/yorig/mpils-results-grid-ticks-10000/medium-1/8proc/seed-1/6_momentum1_seed-1_20260426_003402/run.log
mushroom-best.mps,1,0,1,/scratch/yorig/mpils-results-grid-ticks-10000/medium-1/8proc/seed-1/7_mushroom-best_seed-1_20260426_005313,/scratch/yorig/mpils-results-grid-ticks-10000/medium-1/8proc/seed-1/7_mushroom-best_seed-1_20260426_005313/run.log
neos-1456979.mps,1,0,1,/scratch/yorig/mpils-results-grid-ticks-10000/medium-1/8proc/seed-1/8_neos-1456979_seed-1_20260426_011202,/scratch/yorig/mpils-results-grid-ticks-10000/medium-1/8proc/seed-1/8_neos-1456979_seed-1_20260426_011202/run.log
neos-3024952-loue.mps,1,0,1,/scratch/yorig/mpils-results-grid-ticks-10000/medium-1/8proc/seed-1/9_neos-3024952-loue_seed-1_20260426_012839,/scratch/yorig/mpils-results-grid-ticks-10000/medium-1/8proc/seed-1/9_neos-3024952-loue_seed-1_20260426_012839/run.log
neos-3555904-turama.mps,1,0,1,/scratch/yorig/mpils-results-grid-ticks-10000/medium-1/8proc/seed-1/10_neos-3555904-turama_seed-1_20260426_014846,/scratch/yorig/mpils-results-grid-ticks-10000/medium-1/8proc/seed-1/10_neos-3555904-turama_seed-1_20260426_014846/run.log
