EvalID,TimeEvaluated,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,28.04,28.040000,28486.750000,20498.742004,14921508010286178949,null,0,1,0
2,11,21.41,21.410000,26151.300000,20551.817351,10101538263502436884,null,0,1,0
3,17,21.41,21.410000,26151.300000,20551.817351,14880678517235238818,null,0,1,0
4,23,33.96,33.960000,26678.250000,17617.773642,4934740888478172005,null,0,1,0
5,33,41.28,41.280000,25427.670000,14932.063854,3793061173611652593,null,0,1,0
6,39,22.71,22.710000,26453.270000,20444.571600,9316799145851188295,null,0,1,0
7,45,22.83,22.830000,26715.130000,20614.956306,435339654445841590,null,0,1,0
8,51,26.48,26.480000,27854.400000,20477.232577,10668018083619300221,null,0,1,0
9,56,21.41,21.410000,26151.300000,20551.817351,10820222253774655763,null,0,1,0
10,62,22.6,22.600000,26151.300000,20242.271949,8658789527713615905,null,0,1,0
11,68,21.41,21.410000,26151.300000,20551.817351,73577388306739442,null,0,1,0
12,74,24.18,24.180000,26671.930000,20222.331625,18090118877917844265,null,0,1,0
13,80,21.41,21.410000,26151.300000,20551.817351,14230211112920940812,null,0,1,0
14,86,21.41,21.410000,26151.300000,20551.817351,9080173133444326349,null,0,1,0
15,92,20.55,20.550000,25382.350000,20165.290845,14605588685206531618,null,0,1,0
16,98,18.7,18.700000,25723.940000,20914.141425,7847913770793718247,null,0,1,0
17,103,20.85,20.850000,25787.890000,20411.288001,382524607734697187,null,0,1,0
18,109,18.7,18.700000,25723.940000,20914.141425,12777752261915973159,null,0,1,0
19,115,18.7,18.700000,25723.940000,20914.141425,433901542190869242,null,0,1,0
20,121,26.46,26.460000,27459.520000,20193.923327,3437328406010186224,null,0,1,0
21,6,24.33,24.330000,26360.700000,19946.600000,9686720361045965965,null,1,1,0
22,12,20.85,20.850000,25791.800000,20415.000000,14977320980139403669,null,1,1,0
23,18,20.85,20.850000,25791.800000,20415.000000,6900896254888489057,null,1,1,0
24,24,24.26,24.260000,26892.000000,20367.300000,310494264194603193,null,1,1,0
25,32,55.94,55.940000,25630.900000,11292.800000,1169425567451093850,null,1,1,0
26,38,22.24,22.240000,26079.600000,20279.600000,2365507332469088318,null,1,1,0
27,43,21.41,21.410000,25726.900000,20218.100000,718436855236861245,null,1,1,0
28,49,20.85,20.850000,25791.800000,20415.000000,16000941504924986952,null,1,1,0
29,55,20.85,20.850000,25791.800000,20415.000000,13085142890989382541,null,1,1,0
30,61,20.85,20.850000,25791.800000,20415.000000,15162745138756906137,null,1,1,0
31,67,20.85,20.850000,25791.800000,20415.000000,2057489992720434847,null,1,1,0
32,73,20.85,20.850000,25791.800000,20415.000000,3509116492690434847,null,1,1,0
33,79,29.4,29.400000,28310.100000,19987.900000,5710348878039728083,null,1,1,0
34,85,22.24,22.240000,26079.600000,20279.600000,2854857213036358008,null,1,1,0
35,91,20.86,20.860000,25791.800000,20411.000000,1698815858495011613,null,1,1,0
36,97,24.03,24.030000,26892.000000,20429.700000,13235688858974276600,null,1,1,0
37,103,22.08,22.080000,26141.900000,20370.400000,15014210636279907952,null,1,1,0
38,109,22.24,22.240000,26079.600000,20279.600000,1455673053683296396,null,1,1,0
39,115,18.11,18.110000,25427.700000,20821.600000,499237280853391855,null,1,1,0
40,121,18.11,18.110000,25427.700000,20821.600000,4537003476690163006,null,1,1,0
41,5,24.87,24.870000,27302.100000,20510.900000,17808874148426417796,null,2,1,0
42,12,25.57,25.570000,27434.000000,20419.300000,11633543647495200375,null,2,1,0
43,17,24.87,24.870000,27302.100000,20510.900000,5640172564576391019,null,2,1,0
44,23,24.87,24.870000,27302.100000,20510.900000,13442604047210902029,null,2,1,0
45,29,24.87,24.870000,27302.100000,20510.900000,16329590515646545778,null,2,1,0
46,35,22.49,22.490000,26259.200000,20353.100000,16422045157006476828,null,2,1,0
47,41,22.49,22.490000,26259.200000,20353.100000,4476447403378541253,null,2,1,0
48,47,22.36,22.360000,26397.400000,20495.800000,4408874252917390650,null,2,1,0
49,53,32.53,32.530000,25489.200000,17198.000000,3585694571294642860,null,2,1,0
50,59,22.36,22.360000,26397.400000,20495.800000,2289629708444293079,null,2,1,0
51,65,22.36,22.360000,26397.400000,20495.800000,1313850426047230203,null,2,1,0
52,70,22.36,22.360000,26397.400000,20495.800000,6854630524422792756,null,2,1,0
53,76,25.46,25.460000,27368.500000,20399.200000,891065145645596778,null,2,1,0
54,82,25.46,25.460000,27368.500000,20399.200000,17534345993762660905,null,2,1,0
55,88,20.76,20.760000,25646.200000,20322.300000,15043927084102213564,null,2,1,0
56,94,23.5,23.500000,26224.400000,20062.900000,3203594923067955840,null,2,1,0
57,100,23.5,23.500000,26224.400000,20062.900000,13307856979303777685,null,2,1,0
58,108,41.69,41.690000,25391.100000,14806.000000,12179403721891718537,null,2,1,0
59,114,24.27,24.270000,26747.800000,20257.300000,5324953090367320148,null,2,1,0
60,120,20.76,20.760000,25646.200000,20322.300000,11524481062164847383,null,2,1,0
61,6,29.73,29.730000,25794.000000,18125.100000,15837001027272843000,null,3,1,0
62,12,24.15,24.150000,27014.000000,20489.100000,625404552481149274,null,3,1,0
63,17,23.49,23.490000,26660.100000,20397.900000,6709285937789361054,null,3,1,0
64,23,30.27,30.270000,25608.400000,17857.800000,17570328436183129766,null,3,1,0
65,29,23.34,23.340000,26660.100000,20438.500000,14460306227437074189,null,3,1,0
66,35,20.69,20.690000,25943.900000,20576.400000,14885547558978267971,null,3,1,0
67,41,22.83,22.830000,26530.900000,20472.900000,11708020553458791887,null,3,1,0
68,47,20.69,20.690000,25943.900000,20576.400000,1658154512957496525,null,3,1,0
69,53,23.56,23.560000,26823.600000,20502.700000,15605605345927072748,null,3,1,0
70,60,39.2,39.200000,25427.700000,15459.600000,16919609718318548053,null,3,1,0
71,66,23.75,23.750000,26776.300000,20416.600000,9500594407481356130,null,3,1,0
72,72,23.98,23.980000,26981.700000,20511.500000,1031709587701085295,null,3,1,0
73,78,20.69,20.690000,25943.900000,20576.400000,2013965005098115324,null,3,1,0
74,84,29.2,29.200000,25433.600000,18008.300000,3328450484935004444,null,3,1,0
75,90,20.69,20.690000,25943.900000,20577.200000,14186745225900198978,null,3,1,0
76,95,23.71,23.710000,26808.200000,20452.600000,3572119019716654128,null,3,1,0
77,101,20.69,20.690000,25943.900000,20576.400000,6795575471109710760,null,3,1,0
78,107,20.69,20.690000,25943.900000,20576.300000,1725379072835687151,null,3,1,0
79,113,20.69,20.690000,25943.900000,20576.400000,13187696547352779111,null,3,1,0
