EvalID,TimeEvaluated,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,6,27.6,27.600000,20560.000000,14884.709021,14921508010286178949,null,0,1,0
2,13,27.6,27.600000,20560.000000,14884.709021,14494239334946615932,null,0,1,0
3,19,29.24,29.240000,20215.000000,14305.047255,2823934824078185206,null,0,1,0
4,27,34.59,34.590000,20671.000000,13521.443529,5834979808369545068,null,0,1,0
5,33,25.17,25.170000,19998.000000,14964.638120,16450644818478286277,null,0,1,0
6,40,26.55,26.550000,20407.000000,14988.867357,14770251354950928531,null,0,1,0
7,47,26.65,26.650000,20245.000000,14850.097051,12911295086759950527,null,0,1,0
8,54,25.17,25.170000,19998.000000,14964.638120,8684362743474760867,null,0,1,0
9,61,29.37,29.370000,20600.000000,14550.000845,14820068328697364350,null,0,1,0
10,67,27.5,27.500000,20513.000000,14871.611218,15743638518301921207,null,0,1,0
11,74,25.17,25.170000,19998.000000,14964.638120,5464919222774142173,null,0,1,0
12,81,25.17,25.170000,19998.000000,14964.638120,2369337967810113092,null,0,1,0
13,88,25.17,25.170000,19998.000000,14964.638120,13064963287215259304,null,0,1,0
14,95,28.69,28.690000,20518.000000,14630.591580,11881378668426770804,null,0,1,0
15,102,27.63,27.630000,20675.000000,14961.638174,7363453468325357854,null,0,1,0
16,109,25.17,25.170000,19998.000000,14964.638120,2006497810689869051,null,0,1,0
17,115,28.69,28.690000,20518.000000,14630.591580,9825552984101027853,null,0,1,0
18,122,24.75,24.750000,19998.000000,15049.242522,14353931078366206268,null,0,1,0
19,129,26.58,26.580000,21228.000000,15584.599926,10279840955199560561,null,0,1,0
20,136,26.71,26.710000,20419.000000,14964.143967,12754826017321148541,null,0,1,0
21,6,41.92,41.920000,21228.000000,12329.700000,13868541968104201829,null,1,1,0
22,13,42.23,42.230000,21228.000000,12262.800000,14311376516940003089,null,1,1,0
23,20,44.57,44.570000,21228.000000,11766.000000,11386672675011921142,null,1,1,0
24,27,41.92,41.920000,21228.000000,12329.700000,16754369100859683223,null,1,1,0
25,34,41.92,41.920000,21228.000000,12329.700000,6833238892371230182,null,1,1,0
26,41,41.92,41.920000,21228.000000,12329.700000,15374924284586238397,null,1,1,0
27,48,41.92,41.920000,21228.000000,12329.700000,5384742233966419232,null,1,1,0
28,55,41.92,41.920000,21228.000000,12329.700000,9277341961371048696,null,1,1,0
29,62,29.59,29.590000,20350.000000,14327.700000,15021053533019190221,null,1,1,0
30,69,29.34,29.340000,20128.000000,14223.100000,1124177243444757240,null,1,1,0
31,76,28.13,28.130000,19893.000000,14297.800000,15643257045520497632,null,1,1,0
32,83,28.13,28.130000,19893.000000,14297.800000,13899201051458294764,null,1,1,0
33,90,30.87,30.870000,20642.000000,14269.500000,1228019993708438059,null,1,1,0
34,97,28.13,28.130000,19893.000000,14297.800000,5567782135850556844,null,1,1,0
35,104,28.88,28.880000,21228.000000,15097.300000,10020522117827811565,null,1,1,0
